PseAAC1,PseAAC2,PseAAC3,PseAAC4,PseAAC5,PseAAC6,PseAAC7,PseAAC8,PseAAC9,PseAAC10,PseAAC11,PseAAC12,PseAAC13,PseAAC14,PseAAC15,PseAAC16,PseAAC17,PseAAC18,PseAAC19,PseAAC20
0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.0,0.0,-0.325
0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,-1.133333333333334
0.1666666666666667,0.0,0.0,0.0,0.0,0.1666666666666667,0.0,0.0,0.0,0.1666666666666667,0.0,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.6
0.0,0.09090909090909091,0.09090909090909091,0.1818181818181818,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,-2.0
0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.1818181818181818,0.0,0.1818181818181818,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,0.0,0.1545454545454545
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666667,0.0,0.1666666666666667,0.0,0.1666666666666667,0.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.35
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2
0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.1818181818181818,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.09090909090909091,-0.8272727272727273
0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,-0.4111111111111112
0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.15
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,-0.13
0.0,0.0,0.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,-0.5142857142857143
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.32
0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.25,0.0,0.0,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,-1.75
0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.1818181818181818,0.0,0.0,0.1818181818181818,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.1454545454545454
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666667,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.1666666666666667,0.0,0.0,0.0,-0.2333333333333334
0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,-0.7000000000000001
0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,-0.1222222222222224
0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.1538461538461539,0.0,0.0,0.2307692307692308,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,-0.06923076923076935
0.0,0.0,0.2307692307692308,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.1538461538461539,0.0,0.1538461538461539,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,-1.238461538461539
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0,0.0,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.0,0.0,0.0,0.0,0.3428571428571428
0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.0,0.0,0.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.1499999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1428571428571428,0.0,0.0,0.2857142857142857,0.1428571428571428,0.0,0.0,0.0,-0.04285714285714293
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.0,0.0,0.5625
0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.01249999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.58
0.2142857142857143,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.1428571428571428,0.07142857142857142,0.1428571428571428,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.1428571428571428,0.0214285714285714
0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.1818181818181818,0.09090909090909091,0.1818181818181818,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.1818181818181818,-0.3
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.0,-0.17
0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.2899999999999999
