fr_Nhpyrrole,fr_SH,fr_amide,fr_benzene,fr_bicyclic,fr_guanido,fr_imidazole,fr_para_hydroxylation,fr_phenol,fr_sulfide,AvgIpc,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxAbsEStateIndex,MaxEStateIndex,MinEStateIndex
0,0,9,0,0,0,0,0,0,0,3.990954918494413,0.5857142857142857,1.114285714285714,1.614285714285714,14.41317693229028,14.41317693229028,-1.534886240325856
0,0,12,0,0,0,0,0,0,0,2.353691958984394,0.4555555555555555,0.8777777777777778,1.333333333333333,14.59509768035099,14.59509768035099,-1.828970893108478
0,0,14,1,0,0,0,0,1,0,1.613963121779129,0.4017857142857143,0.7767857142857143,1.223214285714286,14.73861904319582,14.73861904319582,-1.606247432346837
1,0,24,3,0,0,1,0,1,2,1.658174915085471,0.33,0.665,1.07,15.0135645811835,15.0135645811835,-1.651546873216202
0,0,17,1,0,0,0,0,0,1,1.687294787888078,0.392,0.76,1.232,15.04519524742388,15.04519524742388,-1.70415319681138
0,0,3,1,0,0,0,0,0,0,3.412544196298471,1.033333333333333,1.666666666666667,2.333333333333333,12.81024022564336,12.81024022564336,-1.035050963688455
0,0,8,1,0,0,0,0,1,0,3.964470756498028,0.6818181818181818,1.242424242424242,1.772727272727273,14.50362637813357,14.50362637813357,-1.637842162507059
0,0,9,0,0,0,0,0,0,0,3.226841056660847,0.4264705882352941,0.75,1.088235294117647,13.68121658537127,13.68121658537127,-1.890320918837419
0,0,8,0,0,0,0,0,0,0,3.654922664953915,0.6833333333333333,1.2,1.7,13.62183204120692,13.62183204120692,-1.571526666310834
1,0,2,1,1,0,0,1,0,1,3.119191590672923,1.172413793103448,1.862068965517241,2.517241379310345,12.82049067775258,12.82049067775258,-1.180526858636527
0,0,6,0,0,0,0,0,0,0,3.802869463535452,0.6727272727272727,1.218181818181818,1.709090909090909,14.12107281593803,14.12107281593803,-1.456644036054034
0,0,11,0,0,0,0,0,0,0,4.055759680355378,0.4880952380952381,0.9404761904761905,1.428571428571429,14.58319850319191,14.58319850319191,-1.705863717618692
0,0,8,1,0,1,0,0,0,1,3.785217800066068,0.7941176470588235,1.411764705882353,2.0,14.18850296284763,14.18850296284763,-1.623225703223219
1,0,14,3,0,0,1,0,1,1,1.640467408870735,0.4516129032258064,0.8306451612903226,1.266129032258065,15.34433358368622,15.34433358368622,-1.536833325755738
0,0,17,1,0,1,0,0,0,0,1.616957356224548,0.4262295081967213,0.8032786885245902,1.229508196721312,14.97654546458745,14.97654546458745,-1.365309859839983
0,0,18,2,0,1,0,0,1,0,1.633128572035509,0.4029850746268657,0.7761194029850746,1.216417910447761,15.00787134393709,15.00787134393709,-1.513637867353665
0,0,22,0,0,0,0,0,0,1,1.625393779098586,0.3181818181818182,0.6493506493506493,1.077922077922078,14.9286578719038,14.9286578719038,-1.889280652917981
0,0,21,0,0,0,0,0,0,1,1.632259137112261,0.3581081081081081,0.7297297297297297,1.182432432432432,14.9286578719038,14.9286578719038,-1.889280652917981
0,0,3,0,0,0,0,0,0,0,3.069874994077894,1.148148148148148,1.777777777777778,2.296296296296296,12.48768628747795,12.48768628747795,-1.041854403995526
1,0,6,0,0,0,1,0,0,0,3.798484162219727,1.044444444444445,1.777777777777778,2.377777777777778,13.59499308468117,13.59499308468117,-1.621529482136318
1,0,5,1,1,0,0,1,0,0,3.382903194064417,0.782608695652174,1.326086956521739,1.91304347826087,13.31341041365387,13.31341041365387,-1.592134632190237
0,0,6,0,0,0,0,0,0,0,3.695440766457748,0.851063829787234,1.446808510638298,1.978723404255319,13.74425034788689,13.74425034788689,-1.581728197945869
0,0,5,1,0,1,0,0,0,0,3.749246019198787,0.9166666666666666,1.5625,2.1875,13.61642329308897,13.61642329308897,-1.099491571309145
0,0,4,0,0,1,0,0,0,0,2.952161542193848,0.6170212765957447,1.0,1.404255319148936,13.34352051543319,13.34352051543319,-1.662621158007597
