length,Nside,Cside,hydrophobic,G,L,P,K,dpc-AP,dpc-YP,dpc-KK,dpc-GP,dde-PH,dde-AP,dde-YP,dde-GP,asdc-AP,asdc-YP,asdc-KK,asdc-GP
9,19,7,0.44,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,12,4,0.71,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,9,17,0.5,0.07142857142857142,0.1428571428571428,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4,17,0.88,0.0,0.0,0.25,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.8003606431765009,0.0,0.0,0.07692307692307693,0.0,0.0,0.0
9,13,3,0.56,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,15,3,0.5,0.0,0.1666666666666667,0.1666666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,13,0.57,0.0,0.0,0.2857142857142857,0.2142857142857143,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.4477401208959666,0.0,0.04,0.04,0.04,0.0
25,5,4,0.6,0.04,0.0,0.2,0.16,0.04166666666666666,0.04166666666666666,0.0,0.0,0.0,0.116569583996785,0.1741515433929318,0.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0
16,16,10,0.69,0.0,0.0625,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,12,1.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2.903253436546509,0.0,0.0,0.0,0.2
8,8,3,0.5,0.0,0.0,0.25,0.125,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,1.148205045268393,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0
9,16,16,0.22,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,11,3,0.62,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15,10,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,3,0.71,0.0,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,15,3,0.55,0.0,0.1818181818181818,0.1818181818181818,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,14,4,0.62,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,6,4,0.57,0.0,0.0,0.2857142857142857,0.1428571428571428,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.4477401208959666,0.0,0.0,0.04,0.0,0.0
16,13,17,0.81,0.125,0.0625,0.25,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.0,0.5091692069946168,0.0,0.0,0.0,0.06896551724137931
17,19,17,0.76,0.1176470588235294,0.05882352941176471,0.2352941176470588,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.4611616043536166,0.0,0.0,0.0,0.06451612903225806
20,15,10,0.6,0.0,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,15,8,0.65,0.0,0.1,0.25,0.05,0.05263157894736842,0.0,0.0,0.0,0.0,0.1694573770493589,0.0,0.0,0.02702702702702703,0.0,0.0,0.0
4,17,12,1.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2.903253436546509,0.0,0.0,0.0,0.2
6,12,11,0.67,0.1666666666666667,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.337554771413759,0.0,0.0,0.0,0.1111111111111111
5,9,18,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,13,0.67,0.0,0.1666666666666667,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,17,12,0.83,0.1666666666666667,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.337554771413759,0.0,0.0,0.0,0.1111111111111111
5,14,3,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,15,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,15,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,12,12,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,9,12,0.5,0.0,0.3333333333333333,0.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,9,5,0.71,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,8,0.29,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0
8,9,11,0.38,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,9,0.88,0.0,0.625,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,17,12,0.9,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,1.110161078994405,0.0,0.0,0.0,0.1176470588235294
4,9,4,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9,19,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,14,12,0.4,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,12,1.0,0.0,0.0,0.3333333333333333,0.0,0.2,0.0,0.0,0.0,0.0,1.337554771413759,0.0,0.0,0.1111111111111111,0.0,0.0,0.0
6,9,8,0.67,0.0,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,17,9,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,9,5,0.43,0.1428571428571428,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7,3,0.62,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
